CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window,nbh_id,nbh_name
2020095845,PHONE,NHS,NHS-Neighborhood Preservation-Abatement,Mowing / Weeds-Public Property-Land Bank,Mowing / Weeds,Public Property,Land Bank,07/14/2020,08:21 AM,7,2020,RESOL,N,07/20/2020,7.0,2020.0,6.0,2926 Woodland Ave,"2926 Woodland Ave64109
(39.072587, -94.562306)",64109.0,Mount Hope,Jackson,3.0,Central,27546,39.072587,-94.562306,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020095845,,51,Mount Hope
2020032725,PHONE,KCPD,KCPD-Parking Control-,Vehicles / Parking-Abandoned On Street-Car,Vehicles / Parking,Abandoned On Street,Car,03/04/2020,10:47 AM,3,2020,RESOL,N,03/06/2020,3.0,2020.0,2.0,1700 E 31st St,"1700 E 31st St64109
(39.070429, -94.563013)",64109.0,Mount Hope,Jackson,3.0,Central,27407,39.070429,-94.563013,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020032725,,51,Mount Hope
2019196824,PHONE,KCPD,KCPD-Parking Control-,Vehicles / Parking-Abandoned On Street-Car,Vehicles / Parking,Abandoned On Street,Car,11/25/2019,01:33 PM,11,2019,RESOL,N,12/02/2019,12.0,2019.0,7.0,1700 E 31st St,"1700 E 31st St64109
(39.070429, -94.563013)",64109.0,Mount Hope,Jackson,3.0,Central,27407,39.070429,-94.563013,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019196824,,51,Mount Hope
2020025783,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by City,Trash / Recycling,Recycling,Missed by City,02/20/2020,11:24 AM,2,2020,RESOL,N,02/21/2020,2.0,2020.0,1.0,3001 Highland Ave,"3001 Highland Ave64109
(39.071876, -94.562841)",64109.0,Mount Hope,Jackson,3.0,Central,27382,39.071876,-94.562841,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020025783,,51,Mount Hope
2019136673,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Fence Issue,07/22/2019,12:50 PM,7,2019,OPEN,Y,,,,,2920 Woodland Ave,"2920 Woodland Ave64109
(39.072817, -94.562311)",64109.0,Mount Hope,Jackson,3.0,Central,27543,39.072817,-94.562311,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019136673,90.0,51,Mount Hope
2018025886,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Trash on Private Property,03/01/2018,11:19 PM,3,2018,OPEN,Y,,,,,2821 Highland Ave,"2821 Highland Ave64109
(39.074952, -94.562697)",64109.0,Mount Hope,Jackson,3.0,Central,27081,39.074952,-94.562697,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2018025886,90.0,51,Mount Hope
2018169985,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,12/26/2018,09:21 PM,12,2018,OPEN,Y,,,,,2913 Wayne Ave,"2913 Wayne Ave64109
(39.073384, -94.563916)",64109.0,Mount Hope,Jackson,3.0,Central,27534,39.073384,-94.563916,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2018169985,90.0,51,Mount Hope
2019180473,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,Streets / Roadways / Alleys,Pothole,District 2,10/15/2019,09:22 PM,10,2019,RESOL,Y,12/11/2019,12.0,2019.0,57.0,2910 Lynn Ave,"2910 Lynn Ave64109
(39.073324, -94.562862)",64109.0,Mount Hope,Jackson,3.0,Central,249998,39.073324,-94.562862,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180473,,51,Mount Hope
2019180468,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,10/15/2019,09:16 PM,10,2019,OPEN,N,,,,,2925 Wayne Ave,"2925 Wayne Ave64109
(39.072937, -94.563936)",64109.0,Mount Hope,Jackson,3.0,Central,27530,39.072937,-94.563936,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180468,0.0,51,Mount Hope
2019180466,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Vacant,10/15/2019,09:13 PM,10,2019,OPEN,Y,,,,,2934 Highland Ave,"2934 Highland Ave64109
(39.0725, -94.563458)",64109.0,Mount Hope,Jackson,3.0,Central,27376,39.0725,-94.563458,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180466,90.0,51,Mount Hope
2019180464,WEB,City Managers Office,City Managers Office-KCPD-,Public Safety-Police-Other,Public Safety,Police,Other,10/15/2019,09:11 PM,10,2019,RESOL,N,11/08/2019,11.0,2019.0,24.0,2916 Highland Ave,"2916 Highland Ave64109
(39.073218, -94.563424)",64109.0,Mount Hope,Jackson,3.0,Central,27520,39.073218,-94.563424,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180464,,51,Mount Hope
